,Crypto,Date,Open,High,Low,Close,Adj Close,Volume
204,Bitcoin,2018-06-06,7625.970215,7680.430176,7502.009766,7653.97998,7653.97998,4692259840.0
205,Bitcoin,2018-06-07,7650.819824,7741.27002,7650.819824,7678.240234,7678.240234,4485799936.0
206,Bitcoin,2018-06-08,7685.140137,7698.189941,7558.399902,7624.919922,7624.919922,4227579904.0
207,Bitcoin,2018-06-09,7632.52002,7683.580078,7531.97998,7531.97998,7531.97998,3845220096.0
208,Bitcoin,2018-06-10,7499.549805,7499.549805,6709.069824,6786.02002,6786.02002,5804839936.0
209,Bitcoin,2018-06-11,6799.290039,6910.180176,6706.629883,6906.919922,6906.919922,4745269760.0
210,Bitcoin,2018-06-12,6905.819824,6907.959961,6542.080078,6582.359863,6582.359863,4654380032.0
211,Bitcoin,2018-06-13,6596.879883,6631.660156,6285.629883,6349.899902,6349.899902,5052349952.0
212,Bitcoin,2018-06-14,6342.75,6707.140137,6334.459961,6675.350098,6675.350098,5138710016.0
213,Bitcoin,2018-06-15,6674.080078,6681.080078,6433.870117,6456.580078,6456.580078,3955389952.0
214,Bitcoin,2018-06-16,6455.450195,6592.490234,6402.290039,6550.160156,6550.160156,3194170112.0
215,Bitcoin,2018-06-17,6545.529785,6589.109863,6499.27002,6499.27002,6499.27002,3104019968.0
216,Bitcoin,2018-06-18,6510.069824,6781.140137,6446.680176,6734.819824,6734.819824,4039200000.0
217,Bitcoin,2018-06-19,6742.390137,6822.5,6709.919922,6769.939941,6769.939941,4057029888.0
218,Bitcoin,2018-06-20,6770.759766,6821.560059,6611.879883,6776.549805,6776.549805,3888640000.0
219,Bitcoin,2018-06-21,6780.089844,6810.939941,6715.169922,6729.740234,6729.740234,3529129984.0
220,Bitcoin,2018-06-22,6737.879883,6747.080078,6006.600098,6083.689941,6083.689941,5079810048.0
221,Bitcoin,2018-06-23,6090.100098,6224.819824,6071.810059,6162.47998,6162.47998,3431360000.0
222,Bitcoin,2018-06-24,6164.279785,6223.779785,5826.410156,6173.22998,6173.22998,4566909952.0
223,Bitcoin,2018-06-25,6171.970215,6327.370117,6119.680176,6249.180176,6249.180176,5500810240.0
224,Bitcoin,2018-06-26,6253.549805,6290.160156,6093.669922,6093.669922,6093.669922,3279759872.0
225,Bitcoin,2018-06-27,6084.399902,6180.0,6052.850098,6157.129883,6157.129883,3296219904.0
226,Bitcoin,2018-06-28,6153.160156,6170.410156,5873.049805,5903.439941,5903.439941,3467800064.0
